id,price,sale_date,cabins,decks,bathrooms,producer,created_date,refitted_date,total_area,crew_area,cabins_area,maintenance_area,crew_area_coef,total_area_coef,weight_distribution_x,weight_distribution_y,engine_thrust,radar,bow_thruster,autopilot,solar_panels,navi_quality,state,overall_quality
1,1845000.0,2122-11-28,3,1.0,1,59,2106/08,,364.6,118.0,68.0,50.0,93.0,275.0,-0.0700517975292675,0.016326259658541176,1899.6,0,1,0,0,0,4,8
2,861600.0,2122-11-28,3,1.0,3,24,2115/08,,998.3,92.5,54.5,38.0,70.5,335.8,0.10494820247073676,0.10537625965854147,1550.3,0,1,1,0,0,4,7
3,1446000.0,2122-11-28,4,2.0,2,24,2114/12,,1793.4,135.5,135.5,0.0,139.0,1811.2,0.11094820247072988,0.09252625965854122,2692.4,0,0,0,0,0,3,9
4,2250000.0,2122-11-28,3,1.0,2,51,2108/01,,327.5,119.5,72.0,47.5,100.5,327.5,-0.08205179752926085,-0.0056737403414572896,1496.6,0,1,1,0,2,4,8
5,1200000.0,2122-11-28,4,1.5,2,41,2112/11,,2144.2,181.5,115.0,66.5,141.5,4007.4,0.026948202470733804,0.14917625965854242,2507.2,0,1,1,0,0,3,9
6,2355000.0,2122-11-28,5,2.0,3,35,2118/05,,599.8,183.0,183.0,0.0,166.0,562.1,0.19194820247073296,0.013176259658539635,1658.6,0,0,0,0,2,3,10
7,1379970.0,2122-11-28,3,2.0,2,28,2119/10,,277.0,134.0,134.0,0.0,149.5,301.8,0.25494820247073535,0.041976259658540016,1651.0,0,1,1,0,0,3,8
8,1305000.0,2122-11-28,4,1.0,1,6,2107/11,,440.0,72.5,72.5,0.0,63.0,447.1,0.05444820247073011,-0.007273740341457113,1564.3,0,0,1,0,0,4,7
9,939000.0,2122-11-28,3,1.5,1,58,2108/02,,395.6,67.0,67.0,0.0,74.0,397.0,-0.04755179752926665,-0.10287374034145813,1758.1,0,0,0,0,0,3,7
10,1320000.0,2122-11-28,2,1.0,1,46,2105/11,,242.5,40.0,40.0,0.0,57.5,218.2,-0.06005179752926239,-0.05192374034145786,1515.9,0,0,1,0,0,4,7
11,773850.0,2122-11-28,3,1.0,1,69,2114/08,,292.9,68.5,68.5,0.0,70.0,375.0,-0.03455179752926142,0.08927625965853991,1617.6,0,1,0,0,0,3,7
12,2025000.0,2122-11-28,5,2.0,2,18,2112/11,,3375.9,141.0,141.0,0.0,141.0,2417.6,0.10944820247072982,-0.009673740341458625,2540.2,0,1,1,0,0,3,8
13,1665000.0,2122-11-28,4,2.0,2,35,2119/07,,325.0,165.5,165.5,0.0,119.0,250.0,0.1869482024707304,0.022526259658540937,2193.1,0,1,0,0,0,3,8
14,825000.0,2122-11-28,3,1.0,1,28,2113/08,,513.8,59.0,59.0,0.0,84.0,555.2,0.2284482024707296,0.03602625965854145,1713.3,0,0,0,0,0,3,6
